Price,Description,Location,Area,No_rooms,No_bathrooms,City,Category,Price/m2
400,1+1 APARTMENT FOR RENT IN THE NEW RING,,70.0,1,1,Tirana,Rent,5.714285714285714
500,2+1 APARTMENT FOR RENT NEAR KRISTAL CENTER!!!,"Selite, Tirane",80.0,2,1,Tirana,Rent,6.25
275000,APARTMENT FOR SALE 2+1+2 ON BARRIKADA STREET!!,,108.0,2,2,Tirana,Sale,2546.296296296296
650,APARTMENT FOR RENT 2+ +2 + PARKING NEAR ELBASAN STREET,,103.0,2,2,Tirana,Rent,6.310679611650485
45292,"EXCLUSIVE! 1+1 APARTMENT FOR SALE IN THE NEWEST GOLEM COMPLEX! €650/M2, POSSIBILITY OF PAYMENT IN INSTALLMENTS FOR 2 YEARS!",,70.0,1,1,Durrës,Sale,647.0285714285715
400,1+1 apartment for rent near Sauk District!,Prane Rrethit Sauk,60.0,1,1,Tirana,Rent,6.666666666666667
400,1+1 apartment for rent near Sauk District!,Prane Rrethit Sauk,60.0,1,1,Tirana,Rent,6.666666666666667
700,2+1 apartment for rent near Sauk District!,Prane Rrethit Sauk,100.0,2,1,Tirana,Rent,7.0
125000,"2+1 APARTMENT FOR SALE IN DON BOSKO, TIRANA!",,95.0,2,1,Tirana,Sale,1315.7894736842106
650,APARTMENT 3+1+2 KAVAJA STREET!,Rruga e Kavajes,134.0,3,2,Tirana,Rent,4.850746268656716
550,1+1 APARTMENT FOR RENT NEAR THE ZOO!,,79.0,1,1,Tirana,Rent,6.962025316455696
117000,2+1+2 apartment for sale in Misto Mame!,,112.0,2,2,Tirana,Sale,1044.642857142857
221000,"SQUARE 21, APARTMENT FOR SALE 2+1",Square 21,123.0,2,2,Tirana,Sale,1796.7479674796748
134500,2+1+2 typology apartment for sale at Oasis Residence.,,107.0,2,2,Tirana,Sale,1257.0093457943926
300,2 BEDROOM APARTMENT FOR RENT IN DYRRAH BOULEVARD!,Bulevardi Dyrrah,80.0,2,1,Durrës,Rent,3.75
600,2+1 apartment for rent in the Zoo.,,95.0,2,2,Tirana,Rent,6.315789473684211
93000,"FORMER PARK, 1+1 APARTMENT FOR SALE",,56.0,1,1,Tirana,Sale,1660.7142857142858
63000,1+1 apartment for sale in Kombinat,,63.0,1,1,Tirana,Sale,1000.0
1100,APARTAMENT 2+1+2 ME 1 POST PARKIMI TEK SECRET GARDEN!,,110.0,2,2,Tirana,Rent,10.0
57400,APARTMENT FOR SALE 1+1 IN ALI DEM!,,68.0,1,1,Tirana,Sale,844.1176470588235
103423,APARTMENT 1+1 WITH SEA VIEW FOR SALE IN GOLEM!!!,,77.0,1,1,Durrës,Sale,1343.155844155844
450,1+1 APARTMENT FOR RENT IN DON BOSCO,,59.0,1,1,Tirana,Rent,7.627118644067797
300,1+1 APARTMENT FOR RENT IN ILIRIA BEACH!,,58.0,1,1,Durrës,Rent,5.172413793103448
45000,APARTMENT FOR SALE 2+1 FLOOR,,73.0,2,1,Vlorë,Sale,616.4383561643835
700,2+1 apartment for rent at New Boulevard!!,Rruga Petrela,93.0,2,2,Tirana,Rent,7.526881720430108
600,2+1+2 Zoo apartment for rent,,85.0,2,2,Tirana,Rent,7.0588235294117645
185000,"FORMER AVIATION FIELD, 3+1 APARTMENT FOR SALE",Ish Fusha e Aviacionit,143.0,3,2,Tirana,Sale,1293.7062937062938
450,"3+1 APARTMENT FOR RENT NEAR HOTEL FLOWER, GOLEM!","Prane Hotel Flower ,Golem",130.0,2,1,Durrës,Rent,3.4615384615384617
260000,"APARTMENT FOR SALE 2+1+2 WITH VERANDA, DRY LAKE!",,123.0,2,2,Tirana,Sale,2113.8211382113823
150000,"BARGAIN FOR SALE APARTMENT 2+1+2 TOILET ""PORTA TIRANA E""!","Unaze e Madhe ,prane TEG",124.0,2,2,Tirana,Sale,1209.6774193548388
93600,APARTMENT FOR SALE 1+1 IN KINOSTUDIO 78 M2,,78.0,1,1,Tirana,Sale,1200.0
103410,"FOR SALE 1+1 APARTMENT WITH SEAFOOD, NEW BUILDING IN GOLEM!!!",,77.0,1,1,Durrës,Sale,1342.987012987013
104625,"FOR SALE 1+1 APARTMENT WITH SEA VIEW, NEW BUILDING IN GOLEM!!",,78.0,1,1,Durrës,Sale,1341.3461538461538
600,2+1 apartment for rent in Selvia,Selvia,110.0,2,2,Tirana,Rent,5.454545454545454
153000,"*BARGAIN* APARTMENT FOR SALE 2+1+2 TOILET ""PORTA TIRANA E""!","Unaze e Madhe ,prane TEG",127.0,2,2,Tirana,Sale,1204.724409448819
154000,"*BARGAIN* APARTMENT FOR SALE 2+1+2 TOILET ""PORTA TIRANA E""!","Unaze e Madhe ,prane TEG",128.0,2,2,Tirana,Sale,1203.125
177000,"*BARGAIN* APARTMENT FOR SALE 2+1+2 TOILET ""PORTA TIRANA E""!","Unaze e Madhe ,prane TEG",147.0,2,2,Tirana,Sale,1204.0816326530612
70000,"YZBERISH, 1+1 APARTMENT FOR SALE!",Yzberish,73.0,1,1,Tirana,Sale,958.9041095890411
500,OFFICE/APARTMENT 2+1+2 FOR RENT IN NEW MATERNITY!,,111.0,2,2,Tirana,Rent,4.504504504504505
147000,1+1 apartment in New Bazaar!!,Pazari i Ri,71.0,1,1,Tirana,Sale,2070.4225352112676
550,"2+1+2 Green Terrace apartment for rent, Dry Lake",,172.0,2,2,Tirana,Rent,3.197674418604651
400,"FIRST FLOOR OF A VILLA FOR RENT, NEAR PORTA SE GJERBERT, SAUK, TIRANA!",,95.0,2,1,Tirana,Rent,4.2105263157894735
650,JEPET ME QIRA APARTAMENT 2+1+2 TUALETE+POST PARKIMI!!!,,100.0,2,2,Tirana,Rent,6.5
420000,Luxury apartment 2+1+2 in Park Gate,Park Gate,130.0,2,2,Tirana,Sale,3230.769230769231
278000,SQUARE 21 SUPER APARTMENT FOR SALE 2+1+2,Kompleksi Square21,122.0,2,2,Tirana,Sale,2278.688524590164
500,1+1 APARTMENT FOR RENT IN KALAJA VLORE,uji i ftohte,75.0,1,1,Vlorë,Rent,6.666666666666667
99590,NEW BUILDING APARTMENT 1+1 IN GOLEM FOR SALE!!!,,87.0,1,1,Durrës,Sale,1144.712643678161
350,APARTMENT FOR RENT 2+1+2 BALCONY IN HEKURUDHA BEACH!,,90.0,2,1,Durrës,Rent,3.888888888888889
79000,"1+1 APARTMENT FOR SALE AT,
FORMER AVIATION FIELD!","Pran ""Malboro Cafe""",49.0,1,1,Tirana,Sale,1612.2448979591836
200,1+1 APARTMENT FOR RENT IN KAVAJA ROCK!,,54.0,1,1,Durrës,Rent,3.7037037037037037
1300,MODERN APARTMENT FOR RENT 2+1+PARKING POST IN DELIORGJI COMPLEX!,,118.0,2,2,Tirana,Rent,11.016949152542374
105000,"2+1 apartment for sale, ""Migjeni"" boulevard, Yzberish",,96.0,2,1,Tirana,Sale,1093.75
600,2+1 FOR RENT NEAR THE THATE LAKE!,,116.0,2,2,Tirana,Rent,5.172413793103448
1500,APARTMENT FOR RENT 3+1+2 TOILET NEAR GARDE!,Rr. Perlat Rexhepi,140.0,3,2,Tirana,Rent,10.714285714285714
40000,1+1 for sale in Shkembi i Kavaje,Rruga dytesore.,49.0,1,1,Durrës,Sale,816.3265306122449
